user_id,name,address,dob,city_id,company_id,job_id,income
1,Laura Coffey,4576 Wilkinson Manor,1949-11-21,473,904,46,110957
2,Cheryl Velez,9602 Peter Wall Apt. 632,2000-03-13,28,9635,35,58264
3,Kyle Nelson,82595 Samantha Path,1998-03-20,470,9730,22,22291
4,Kathy Campbell,45955 Alexandra Neck,1989-10-13,117,9734,23,114704
5,John Mcdowell,6953 Luis Extension,1977-05-18,877,959,31,69226
6,Bryan Ortega,8405 Carroll Skyway Apt. 055,1991-01-22,460,2237,14,46154
7,Tyrone Thomas,0654 Thomas Turnpike Apt. 164,1979-07-29,751,5180,11,3327
8,Wanda Bean,878 Craig Heights Suite 640,2000-04-28,701,2573,2,34185
9,Timothy Elliott,87038 Andrea Turnpike Apt. 918,1947-10-09,54,5242,40,27081
10,Tina Clark,0399 Jill Pines Suite 915,1976-04-17,577,455,17,30013
11,Devin Camacho,4021 Jeffrey Viaduct,1977-01-29,249,9514,23,110084
12,Allison Jones,7501 Kimberly Manor,1998-12-22,267,428,0,36592
13,Denise Berg,9289 Benjamin Vista Apt. 216,1953-04-17,324,9515,23,11820
14,Victor Mccoy,19836 Samantha Green,1988-01-13,872,6758,17,30876
15,Douglas Smith,29196 Andrew Greens Suite 993,1981-09-11,66,3738,32,88231
16,Shane Hansen,7782 Frank Island,1987-12-09,749,1748,12,28129
17,Edward Stout,007 Mccoy Plaza,1968-11-22,89,5942,34,11360
18,Kevin Johnson,7844 Arnold Rapids Suite 591,1955-09-21,477,2775,3,93977
19,Robert Conley,89296 Robinson Loop Suite 449,1951-01-06,18,5434,16,113688
20,Joshua Romero,51676 Yvonne Spur Apt. 918,1971-07-15,99,1699,9,48723
21,Kathy Gutierrez DDS,14482 Robert Prairie,2003-05-31,818,8465,21,61606
22,Jessica Simmons,74843 Bill Lights,1969-03-07,248,1523,49,24751
23,Brian Jones,4002 Matthew Village,1978-02-28,930,5433,38,106988
24,Charlotte Walsh,415 Jordan Knoll,1952-04-17,159,1303,34,7314
25,Kevin Smith,186 Brian Manors,1955-08-12,632,759,49,1091
26,Jerry Holland,95695 Madison Pike,1956-10-17,437,7118,43,17685
27,James Everett,6867 Rhonda Rue Suite 431,1949-11-08,803,845,40,118278
28,Bryan Williamson,89356 Teresa Mountains,1953-04-08,806,1378,48,88064
29,Dawn Berger,56456 Chen Mills Suite 547,1988-01-08,298,9783,45,96105
30,Christopher Lucas,793 Thomas Expressway,1984-07-26,44,8273,11,51242
31,Ricky Butler,6087 Melinda Highway Suite 805,1985-02-23,547,3313,43,40720
32,Patrick Booker,44118 Kevin Tunnel Suite 688,1978-12-21,680,4855,49,5273
33,Jeffrey Torres,547 Harris Plaza,1970-08-24,911,1167,30,83450
34,Bryan Gibson,79253 Holmes Inlet,1997-05-30,708,7946,13,113050
35,Mrs. Shelby Case,884 Nicholas Track,1988-07-19,732,9998,13,44579
36,Emily Dixon,906 Johnson Courts,1960-03-27,248,7070,47,48472
37,Laura Patel,007 Steven Trace,1973-02-13,322,1553,28,47800
38,Melissa Phillips,53535 Rebecca Corners,1945-07-25,51,5631,22,84883
39,Dr. Stefanie Mills,901 Reid Rapid,2001-01-30,167,1503,31,112348
40,Scott White,897 Karen Ranch,1997-06-24,376,8565,29,79057
41,Bradley Cervantes,0058 Anthony Garden,1953-02-17,504,3969,29,68672
42,Cathy Smith,01261 Matthew Crossing,1976-10-01,100,6896,6,47767
43,Karen Young,437 Christine River,1945-10-20,574,9285,0,1765
44,Scott King,9837 Melissa Ridge Suite 076,1959-11-14,801,9347,4,78534
45,Lindsey Webb,5419 Adam Crest,1956-04-30,501,5314,44,7816
46,Randall Lopez,16372 Sheila Plaza,1996-02-14,188,3121,1,85853
47,Courtney Mitchell,371 Jessica Rapids,2003-05-04,644,6836,1,86226
48,Tiffany Mcmahon,98525 Desiree Way,1960-12-10,238,1995,21,94175
49,William Watson DDS,78668 Black Camp Suite 494,1971-08-22,6,3682,45,6434
50,Paul Koch,974 Edwards Forks,1976-08-10,58,8735,17,29052
51,Dennis Francis DDS,765 Nicole Port,1958-02-06,288,7931,28,117225
52,Jason Richardson,3970 Shannon Orchard,1977-01-17,535,2596,17,72053
53,Tonya Wagner,70289 Larson Canyon,2001-06-10,853,1935,36,25162
54,Lori Reilly,38103 Smith Orchard Apt. 207,1999-11-18,52,133,2,78166
55,Devon Figueroa,94713 Hernandez Ranch,1995-10-12,858,6146,24,71443
56,Aaron Jones,001 Gonzalez Ferry Apt. 183,1976-04-09,448,4274,43,113628
57,Wyatt Hernandez,9875 Wilson Villages,2003-04-03,39,3957,35,202
58,Nicholas Foster,5574 Kimberly Mall Apt. 352,1976-03-21,596,6711,1,6150
59,John Smith,39980 Novak Forks Apt. 260,1964-07-14,177,9793,23,39675
60,Robyn Benson,0603 Lindsey Expressway Suite 969,1957-03-30,159,8021,29,4137
61,Laura Walter,9178 Johnson Rest,1992-06-21,755,4100,6,115996
62,Kevin Mitchell,053 Kevin Shores,1979-09-03,5,4782,31,54983
63,Michael Garcia,21735 Breanna Cliff,1994-05-01,26,2758,47,18577
64,Nathan Dickerson,1134 Reynolds Overpass,1983-02-08,804,6403,11,77535
65,Douglas Snyder,554 Paul Drives,1976-04-28,554,6373,9,67779
66,Julie Walsh MD,079 Julie Shore,1969-02-24,459,1699,45,55529
67,Heidi Smith,0004 Smith Turnpike,1962-08-18,655,9125,47,44415
68,Mark Cruz,20064 Cannon Stravenue,1953-01-31,215,1636,31,6525
